"","Kingdom","Phylum","Class","Order","Family","Genus"
"ESV_17809","Bacteria","Proteobacteria","Gammaproteobacteria","Class Gammaproteobacteria","Class Gammaproteobacteria","Class Gammaproteobacteria"
"ESV_1781","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Order Cytophagales","Order Cytophagales"
"ESV_17810","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XII","Fusibacter"
"ESV_1782","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","Family Blastocatellaceae"
"ESV_1785","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"ESV_17871","Bacteria","Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes"
"ESV_17873","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae","Crenothrix"
"ESV_17874","Bacteria","Chloroflexi","Ktedonobacteria","C0119","Order C0119","Order C0119"
"ESV_179","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Family Verrucomicrobiaceae"
"ESV_1790","Bacteria","Actinobacteria","Acidimicrobiia","Class Acidimicrobiia","Class Acidimicrobiia","Class Acidimicrobiia"
"ESV_1791","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"ESV_17912","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Order Armatimonadales","Order Armatimonadales"
"ESV_17914","","Kingdom ","Kingdom ","Kingdom ","Kingdom ","Kingdom "
"ESV_17915","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rugamonas"
"ESV_17916","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Family Saprospiraceae"
"ESV_17917","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV_17918","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","Tychonema_CCAP_1459-11B"
"ESV_17919","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"ESV_1792","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Family Gemmatimonadaceae"
"ESV_17920","","Kingdom ","Kingdom ","Kingdom ","Kingdom ","Kingdom "
"ESV_17921","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","Tychonema_CCAP_1459-11B"
"ESV_17922","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_17923","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis"
"ESV_17924","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group"
"ESV_17925","Bacteria","Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria"
"ESV_17926","Bacteria","Bacteroidetes","Bacteroidia","Class Bacteroidia","Class Bacteroidia","Class Bacteroidia"
"ESV_17927","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Order Saccharimonadales","Order Saccharimonadales"
"ESV_17928","Bacteria","Bacteroidetes","Ignavibacteria","SJA-28","Order SJA-28","Order SJA-28"
"ESV_17929","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","11-24","Order 11-24","Order 11-24"
"ESV_1793","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_17930","Bacteria","Chloroflexi","KD4-96","Class KD4-96","Class KD4-96","Class KD4-96"
"ESV_17931","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga"
"ESV_17932","Bacteria","Chloroflexi","KD4-96","Class KD4-96","Class KD4-96","Class KD4-96"
"ESV_17933","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Family Burkholderiaceae"
"ESV_17934","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Family Burkholderiaceae"
"ESV_17935","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Order Rickettsiales","Order Rickettsiales"
"ESV_17936","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_Incertae_Sedis","Unknown_Family","Leptolyngbya_ANT.L67.1"
"ESV_17937","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_17938","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","Family WD2101_soil_group"
"ESV_17939","Bacteria","Actinobacteria","Acidimicrobiia","Class Acidimicrobiia","Class Acidimicrobiia","Class Acidimicrobiia"
"ESV_17940","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter"
"ESV_17941","Bacteria","Patescibacteria","Parcubacteria","Class Parcubacteria","Class Parcubacteria","Class Parcubacteria"
"ESV_17942","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_Incertae_Sedis","Unknown_Family","Leptolyngbya_ANT.L67.1"
"ESV_17943","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudorhodoplanes"
"ESV_17944","Bacteria","Chloroflexi","Anaerolineae","SBR1031","Order SBR1031","Order SBR1031"
"ESV_17945","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula"
"ESV_17946","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_17947","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Family Chitinophagaceae"
"ESV_17948","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix"
"ESV_17949","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Order Chlamydiales","Order Chlamydiales"
"ESV_17950","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"ESV_17951","Bacteria","Acidobacteria","Subgroup_5","Class Subgroup_5","Class Subgroup_5","Class Subgroup_5"
"ESV_17952","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Family Fimbriimonadaceae"
"ESV_17953","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Family env.OPS_17"
"ESV_17954","Bacteria","Actinobacteria","Acidimicrobiia","IMCC26256","Order IMCC26256","Order IMCC26256"
"ESV_17955","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207"
"ESV_17956","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Family Microscillaceae"
"ESV_17957","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Family Verrucomicrobiaceae"
"ESV_17959","Bacteria","Acidobacteria","Subgroup_6","Class Subgroup_6","Class Subgroup_6","Class Subgroup_6"
"ESV_1796","Bacteria","Acidobacteria","Subgroup_6","Class Subgroup_6","Class Subgroup_6","Class Subgroup_6"
"ESV_17961","Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429"
"ESV_17962","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)"
"ESV_17963","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV_17964","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Order Armatimonadales","Order Armatimonadales"
"ESV_17965","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_17966","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","Family 67-14"
"ESV_17967","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","FFCH7168"
"ESV_17968","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207"
"ESV_17969","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_13"
"ESV_1797","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ESV_17970","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Family Saprospiraceae"
"ESV_17971","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Family Ruminococcaceae"
"ESV_17972","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Geminicoccus"
"ESV_17973","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20","Family 0319-6G20"
"ESV_17974","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_17975","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV_17976","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Family Paenibacillaceae"
"ESV_17977","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Lunatimonas"
"ESV_17978","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Family Chthoniobacteraceae"
"ESV_17979","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)"
"ESV_1798","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Zambryskibacteria","Order Candidatus_Zambryskibacteria","Order Candidatus_Zambryskibacteria"
"ESV_17980","Bacteria","Actinobacteria","Acidimicrobiia","Class Acidimicrobiia","Class Acidimicrobiia","Class Acidimicrobiia"
"ESV_17981","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea"
"ESV_17982","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_17983","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Family Burkholderiaceae"
"ESV_17984","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas"
"ESV_17985","Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429"
"ESV_17986","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Order Cytophagales","Order Cytophagales"
"ESV_17987","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ESV_17988","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","Family A4b"
"ESV_17989","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium"
"ESV_17990","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","FFCH7168"
"ESV_17991","Bacteria","Chloroflexi","OLB14","Class OLB14","Class OLB14","Class OLB14"
"ESV_17992","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","Order RBG-13-54-9","Order RBG-13-54-9"
"ESV_17993","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadaceae","Chthonomonas"
"ESV_17994","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Pelosinus"
"ESV_17995","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_17996","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_17997","Bacteria","Chloroflexi","KD4-96","Class KD4-96","Class KD4-96","Class KD4-96"
"ESV_17998","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_17999","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_18","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nostoc_PCC-73102"
