"","Kingdom","Phylum","Class","Order","Family","Genus"
"ESV_2066","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Runella"
"ESV_2067","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_2068","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_2069","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Oligoflexus"
"ESV_207","","Kingdom ","Kingdom ","Kingdom ","Kingdom ","Kingdom "
"ESV_2071","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Order Chlamydiales","Order Chlamydiales"
"ESV_2072","Bacteria","Proteobacteria","Gammaproteobacteria","Class Gammaproteobacteria","Class Gammaproteobacteria","Class Gammaproteobacteria"
"ESV_2073","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ESV_2074","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Family Saprospiraceae"
"ESV_2075","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Order Micrococcales","Order Micrococcales"
"ESV_20764","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae","Phormidesmis_ANT.LACV5.1"
"ESV_20766","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","FFCH7168"
"ESV_20767","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_20768","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"ESV_20769","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Family Spirosomaceae"
"ESV_20770","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20","Family 0319-6G20"
"ESV_20771","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Family Caldilineaceae"
"ESV_20772","Bacteria","Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria"
"ESV_20773","Bacteria","Firmicutes","Bacilli","Bacillales","Order Bacillales","Order Bacillales"
"ESV_20774","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_20775","Bacteria","Proteobacteria","Gammaproteobacteria","CCM19a","Order CCM19a","Order CCM19a"
"ESV_20776","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Family Sphingomonadaceae"
"ESV_20778","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon"
"ESV_20779","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Family Sandaracinaceae"
"ESV_20781","Bacteria","Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes"
"ESV_20782","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_20783","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","Family NS11-12_marine_group"
"ESV_20784","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter"
"ESV_20786","Bacteria","Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes"
"ESV_20787","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter"
"ESV_20788","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_20789","Bacteria","WPS-2","Phylum WPS-2","Phylum WPS-2","Phylum WPS-2","Phylum WPS-2"
"ESV_2079","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ESV_20790","","Kingdom ","Kingdom ","Kingdom ","Kingdom ","Kingdom "
"ESV_20791","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Glaciihabitans"
"ESV_20792","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_20793","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_20794","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"ESV_20795","Bacteria","Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria"
"ESV_20796","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Order Cytophagales","Order Cytophagales"
"ESV_20797","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767","Family AKYH767"
"ESV_20798","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","Family Hydrogenedensaceae"
"ESV_20799","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Family Rhodanobacteraceae"
"ESV_208","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ESV_2080","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia"
"ESV_20800","Bacteria","Planctomycetes","Pla4_lineage","Class Pla4_lineage","Class Pla4_lineage","Class Pla4_lineage"
"ESV_20801","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)"
"ESV_20802","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV_20803","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Paludibaculum"
"ESV_20804","Bacteria","Chloroflexi","Phylum Chloroflexi","Phylum Chloroflexi","Phylum Chloroflexi","Phylum Chloroflexi"
"ESV_20805","Bacteria","Proteobacteria","Gammaproteobacteria","Class Gammaproteobacteria","Class Gammaproteobacteria","Class Gammaproteobacteria"
"ESV_20806","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_20807","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Order Myxococcales","Order Myxococcales"
"ESV_20808","Bacteria","Elusimicrobia","Lineage_IIa","Class Lineage_IIa","Class Lineage_IIa","Class Lineage_IIa"
"ESV_20809","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Order Flavobacteriales","Order Flavobacteriales"
"ESV_20810","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Family Isosphaeraceae"
"ESV_20811","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Runella"
"ESV_20812","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Family Isosphaeraceae"
"ESV_20813","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_20814","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","Family A4b"
"ESV_20815","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12","Family SM2D12"
"ESV_20816","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"ESV_20817","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae","Methylobacter"
"ESV_20818","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_20819","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Order Candidatus_Kaiserbacteria","Order Candidatus_Kaiserbacteria"
"ESV_20820","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","Family A4b"
"ESV_20821","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_20822","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Order Armatimonadales","Order Armatimonadales"
"ESV_20823","Bacteria","Bacteroidetes","Ignavibacteria","OPB56","Order OPB56","Order OPB56"
"ESV_20824","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Citreitalea"
"ESV_20825","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20","Family 0319-6G20"
"ESV_20826","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Family Weeksellaceae"
"ESV_20827","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Family Burkholderiaceae"
"ESV_20828","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767","Family AKYH767"
"ESV_20830","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Order Saccharimonadales","Order Saccharimonadales"
"ESV_20831","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Family Chitinophagaceae"
"ESV_20832","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Family Flavobacteriaceae"
"ESV_20833","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Schlesneriaceae","Schlesneria"
"ESV_20834","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula"
"ESV_20836","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Order Cytophagales","Order Cytophagales"
"ESV_20837","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Family Verrucomicrobiaceae"
"ESV_20838","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","PMMR1"
"ESV_20839","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12","Family SM2D12"
"ESV_2084","Bacteria","Bacteroidetes","Ignavibacteria","SJA-28","Order SJA-28","Order SJA-28"
"ESV_20840","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Family Pedosphaeraceae"
"ESV_20841","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","Order Kallotenuales","Order Kallotenuales"
"ESV_20842","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Fimbriimonas"
"ESV_20843","Bacteria","Acidobacteria","Holophagae","Subgroup_7","Order Subgroup_7","Order Subgroup_7"
"ESV_20844","Bacteria","Proteobacteria","Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria"
"ESV_20845","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Family Rhodobacteraceae"
"ESV_20846","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon"
"ESV_20847","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Order Chitinophagales","Order Chitinophagales"
"ESV_20848","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","Family NS9_marine_group"
"ESV_20849","Bacteria","Proteobacteria","Alphaproteobacteria","Class Alphaproteobacteria","Class Alphaproteobacteria","Class Alphaproteobacteria"
"ESV_2085","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Family Chitinophagaceae"
"ESV_20850","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_20851","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Candidatus_Chloroploca"
"ESV_20852","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_20853","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_20854","Bacteria","Actinobacteria","Coriobacteriia","OPB41","Order OPB41","Order OPB41"
"ESV_20855","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Family Saccharimonadaceae"
"ESV_20856","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas"
"ESV_2086","Bacteria","Acidobacteria","Holophagae","Subgroup_7","Order Subgroup_7","Order Subgroup_7"
"ESV_2091","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ESV_2093","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","Family WD2101_soil_group"
"ESV_2096","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Family Pedosphaeraceae"
"ESV_2098","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_21","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ESV_210","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"ESV_2100","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV_2103","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Order Frankiales","Order Frankiales"
"ESV_21035","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Family Oligoflexaceae"
"ESV_21036","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Phormidesmiaceae","Phormidesmis_ANT.LACV5.1"
"ESV_21037","Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7403"
"ESV_21038","Bacteria","Cyanobacteria","Sericytochromatia","Class Sericytochromatia","Class Sericytochromatia","Class Sericytochromatia"
"ESV_21039","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","Family A4b"
"ESV_21040","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Family Sandaracinaceae"
"ESV_21041","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_21042","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Family Fimbriimonadaceae"
"ESV_21044","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","BSV13"
"ESV_21045","Bacteria","BRC1","Phylum BRC1","Phylum BRC1","Phylum BRC1","Phylum BRC1"
"ESV_21046","Bacteria","Proteobacteria","Deltaproteobacteria","PB19","Order PB19","Order PB19"
"ESV_21047","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","Family WD2101_soil_group"
"ESV_21048","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"ESV_21049","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ESV_2105","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"ESV_21050","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","Family Leptolyngbyaceae"
"ESV_21051","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","Family A4b"
"ESV_21052","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Family Gemmatimonadaceae"
"ESV_21053","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"ESV_21054","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_21055","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_21056","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_21057","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Citreitalea"
"ESV_21058","Bacteria","Bacteroidetes","Bacteroidia","Class Bacteroidia","Class Bacteroidia","Class Bacteroidia"
"ESV_21059","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_2106","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20","Family 0319-6G20"
"ESV_21060","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Order Gaiellales","Order Gaiellales"
"ESV_21061","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Salinicola"
"ESV_21062","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_21064","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_21065","Bacteria","Bacteroidetes","Ignavibacteria","SJA-28","Order SJA-28","Order SJA-28"
"ESV_21066","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Order Cytophagales","Order Cytophagales"
"ESV_21067","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_1"
"ESV_21068","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Family Burkholderiaceae"
"ESV_21069","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_2107","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"ESV_21071","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Order Armatimonadales","Order Armatimonadales"
"ESV_21072","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Rhodocytophaga"
"ESV_21073","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium"
"ESV_21074","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Order Cytophagales","Order Cytophagales"
"ESV_21075","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Family Flavobacteriaceae"
"ESV_21076","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula"
"ESV_21077","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","FFCH7168"
"ESV_21078","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Family Gemmatimonadaceae"
"ESV_21079","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"ESV_21080","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","Family A4b"
"ESV_21081","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Siphonobacter"
"ESV_21082","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon"
"ESV_21083","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","Tychonema_CCAP_1459-11B"
"ESV_21084","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_21085","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Family Rhodanobacteraceae"
"ESV_21086","Bacteria","Proteobacteria","Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria"
"ESV_21087","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_21088","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Family Xanthomonadaceae"
"ESV_21089","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","Family A4b"
"ESV_2109","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Acetoanaerobium"
"ESV_21090","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira"
"ESV_21091","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Family Oligoflexaceae"
"ESV_21092","Bacteria","Bacteroidetes","Bacteroidia","Class Bacteroidia","Class Bacteroidia","Class Bacteroidia"
"ESV_21093","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_21094","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Renibacterium"
"ESV_21095","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Rhodocytophaga"
"ESV_21096","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_21098","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Order Rhodospirillales","Order Rhodospirillales"
"ESV_21099","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ESV_2110","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus_Alysiosphaera"
"ESV_21100","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_21102","Bacteria","Planctomycetes","vadinHA49","Class vadinHA49","Class vadinHA49","Class vadinHA49"
"ESV_21103","Bacteria","Bacteroidetes","Bacteroidia","Class Bacteroidia","Class Bacteroidia","Class Bacteroidia"
"ESV_21104","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Citreitalea"
"ESV_21105","","Kingdom ","Kingdom ","Kingdom ","Kingdom ","Kingdom "
"ESV_21106","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pseudopedobacter"
"ESV_21107","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Family Chitinophagaceae"
"ESV_21108","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_21109","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","Family Microtrichaceae"
"ESV_21110","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","Tychonema_CCAP_1459-11B"
"ESV_21111","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Family Oligoflexaceae"
"ESV_21112","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter"
"ESV_21113","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ESV_21114","Bacteria","Elusimicrobia","Lineage_IIa","Class Lineage_IIa","Class Lineage_IIa","Class Lineage_IIa"
"ESV_21115","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_21116","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_21117","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_21118","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Haoranjiania"
"ESV_21119","Bacteria","Chloroflexi","Dehalococcoidia","S085","Order S085","Order S085"
"ESV_21120","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"ESV_21121","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"ESV_21122","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_21123","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_21124","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Protochlamydia"
"ESV_21125","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_21126","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_21127","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Citreitalea"
"ESV_21128","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus_Udaeobacter"
"ESV_21129","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter"
"ESV_21130","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Gillisia"
"ESV_21132","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Order Micrococcales","Order Micrococcales"
"ESV_21133","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Family Ruminococcaceae"
"ESV_21134","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_21135","Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429"
"ESV_21136","Bacteria","BRC1","Phylum BRC1","Phylum BRC1","Phylum BRC1","Phylum BRC1"
"ESV_21137","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pir4_lineage"
"ESV_21138","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Larkinella"
"ESV_21139","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Humitalea"
"ESV_21140","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_21141","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","Chamaesiphon_PCC-7430"
"ESV_21142","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Family Sphingomonadaceae"
"ESV_21143","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_21144","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Family Microbacteriaceae"
"ESV_21145","Bacteria","Patescibacteria","Parcubacteria","Class Parcubacteria","Class Parcubacteria","Class Parcubacteria"
"ESV_21146","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","Tychonema_CCAP_1459-11B"
"ESV_21147","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_13"
"ESV_21148","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Family Burkholderiaceae"
"ESV_21149","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Family env.OPS_17"
"ESV_2115","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"ESV_21150","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","Family A4b"
"ESV_21151","Bacteria","Chloroflexi","Anaerolineae","SBR1031","Order SBR1031","Order SBR1031"
"ESV_21152","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
